Date of Occurrence,Time of Occurrence,latitude,longitude,Distance from Police Station,Station,Crime Type,DateTime,hour,day_of_week,is_night,month,year,TimeOfDay,Crime_Mischief,Crime_Wrongful Restraint and Confinement,Crime_Robbery and Dacoity,Crime_Gambling-related offenses,Crime_Offences Relating to Documents,Crime_Weights & Measures,Crime_Coin & Govt Stamps,Crime_Intimidation & Annoyance,Crime_Cheating,Crime_Theft,Crime_Marriage-related Offences,Crime_Criminal Trespass,Crime_Safety,Crime_Public Servants,Crime_Offences against the State,Crime_Public Tranquillity,Crime_Traffic violations and motor vehicle offenses,Crime_Offences Affecting Life,Crime_Kidnapping,Crime_Damage to public property,Crime_Slavery and Forced Labour,Crime_Alcohol prohibition violations,Crime_Attempts to Commit Offences,Crime_Criminal Force and Assault,Crime_Cybercrimes and digital fraud,Crime_General Exceptions,Crime_Elections & Authority,Crime_Public Health,Crime_Unknown,Crime_Police-related offenses and misconduct,Crime_General criminal offenses,Crime_False Evidence & Justice,Crime_Abduction,Crime_Drug trafficking and substance abuse,Crime_Criminal Breach of Trust,Crime_Copyright infringement and intellectual property violations,Crime_Extortion,Crime_State-specific motor vehicle violations,Crime_Public safety violations,Crime_Hurt,Crime_Of Abetment,Crime_Criminal Conspiracy,CrimeSeverity,hour_normalized,day_of_week_normalized,Distance from Police Station_normalized
17-09-2023,02:57:00,18.44409719,73.85942563,2.0,1,Alcohol prohibition violations,2023-09-17 02:57:00,2,6,1,9,2023,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,-1.4680535212344794,1.607536454901234,-0.05724529138899054
27-08-2023,22:59:00,18.87636799,73.90316467,4.0,1,"Intimidation & Annoyance, Hurt",2023-08-27 22:59:00,22,6,1,8,2023,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Very High,1.0320513967273839,1.607536454901234,1.0802951665194722
17-09-2023,03:12:00,18.44409719,73.85942563,2.0,1,Alcohol prohibition violations,2023-09-17 03:12:00,3,6,1,9,2023,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,-1.3430482753363862,1.607536454901234,-0.05724529138899054
04-08-2023,06:20:00,18.41610525,73.84666044,4.0,1,"Elections & Authority, Public Health, Safety, Offences Affecting Life, Traffic violations and motor vehicle offenses",2023-08-04 06:20:00,6,4,0,8,2023,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Very High,-0.9680325376421067,0.5721266896783905,1.0802951665194722
30-09-2023,22:47:00,18.42323037,73.84530467,5.0,1,"Elections & Authority, Public Health, Safety, Mischief, Of Abetment, Traffic violations and motor vehicle offenses, Offences Affecting Life",2023-09-30 22:47:00,22,5,1,9,2023,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Very High,1.0320513967273839,1.0898315722898122,1.6490653954737038
03-09-2023,23:15:00,18.44518932,73.85954013,3.0,1,Theft,2023-09-03 23:15:00,23,6,1,9,2023,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,1.157056642625477,1.607536454901234,0.5115249375652409
17-09-2023,02:41:00,18.4632497,73.84229098,2.0,1,Alcohol prohibition violations,2023-09-17 02:41:00,2,6,1,9,2023,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,-1.4680535212344794,1.607536454901234,-0.05724529138899054
19-12-2023,00:35:00,18.45344173,73.85090195,1.0,1,"Criminal Breach of Trust, Offences Relating to Documents, Intimidation & Annoyance, Cheating",2023-12-19 00:35:00,0,1,1,12,2023,3,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Low,-1.7180640130306657,-0.9809879581558746,-0.6260155203432219
15-11-2023,19:20:00,18.45154065,73.84762932,4.0,1,"Elections & Authority, Public Health, Safety, Offences against the State, Of Abetment, Traffic violations and motor vehicle offenses, Offences Affecting Life",2023-11-15 19:20:00,19,2,1,11,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Very High,0.6570356590331043,-0.4632830755444529,1.0802951665194722
02-10-2023,19:17:00,18.45133032,73.85229905,1.0,1,"Cybercrimes and digital fraud, Cheating",2023-10-02 19:17:00,19,0,1,10,2023,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,0.6570356590331043,-1.4986928407672964,-0.6260155203432219
